label,position,start time,end time,patient_number,description,link
חדר הסעודה האחרונה,"31.772035, 35.229292",2020-02-14T13:00:00+02:00,2020-02-14T20:00:00+02:00,,9 תיירים מדרום קוריאה,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/23022020_1.aspx
קבר מרים,"31.780349, 35.239406",2020-02-14T13:00:00+02:00,2020-02-14T20:00:00+02:00,,9 תיירים מדרום קוריאה,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/23022020_1.aspx
כנסיית פטרוס אין גליקנטו,"31.771525, 35.232122",2020-02-14T13:00:00+02:00,2020-02-14T20:00:00+02:00,,9 תיירים מדרום קוריאה,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/23022020_1.aspx
מלון גרנט קורט,"31.789627, 35.227205",2020-02-14T18:00:00+02:00,2020-02-14T23:59:59+02:00,,9 תיירים מדרום קוריאה,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/23022020_1.aspx
מלון גרנט קורט,"31.789627, 35.227205",2020-02-15T00:00:00+02:00,2020-02-15T10:00:00+02:00,,9 תיירים מדרום קוריאה,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/23022020_1.aspx
עין כרם,"31.767587, 35.162287",2020-02-15T10:00:00+02:00,2020-02-15T20:00:00+02:00,,9 תיירים מדרום קוריאה,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/23022020_1.aspx
כנסיית יוחנן המטביל,"31.777309, 35.229695",2020-02-15T10:00:00+02:00,2020-02-15T20:00:00+02:00,,9 תיירים מדרום קוריאה,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/23022020_1.aspx
כנסיית הביקור,"31.764796, 35.157940",2020-02-15T10:00:00+02:00,2020-02-15T20:00:00+02:00,,9 תיירים מדרום קוריאה,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/23022020_1.aspx
כנסית אן הקדושה,"31.781189, 35.236084",2020-02-15T10:00:00+02:00,2020-02-15T20:00:00+02:00,,9 תיירים מדרום קוריאה,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/23022020_1.aspx
מסעדת גולד ליד מלון אמבסדור במזרח ירושלים,"31.789989, 35.202244",2020-02-15T10:00:00+02:00,2020-02-15T20:00:00+02:00,,9 תיירים מדרום קוריאה,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/23022020_1.aspx
בריכות הצאן (מוזיאון ארכיאולוגי בירושלים),"31.768593, 35.213742",2020-02-15T10:00:00+02:00,2020-02-15T20:00:00+02:00,,9 תיירים מדרום קוריאה,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/23022020_1.aspx
כנסיית הקבר הקדוש,"31.778682, 35.229665",2020-02-15T10:00:00+02:00,2020-02-15T20:00:00+02:00,,9 תיירים מדרום קוריאה,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/23022020_1.aspx
מלון גרנט קורט,"31.789627, 35.227205",2020-02-15T10:00:00+02:00,2020-02-15T20:00:00+02:00,,9 תיירים מדרום קוריאה,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/23022020_1.aspx
הפיראט האדום,"32.0228009, 34.861666",2020-02-23T18:00:00+02:00,2020-02-23T22:00:00+02:00,,מקום ביקור של הישראלי ששב מאיטליה,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/28022020_1.aspx
הפיראט האדום,"32.0228009, 34.861666",2020-02-24T08:30:00+02:00,2020-02-24T23:59:00+02:00,,מקום ביקור של הישראלי ששב מאיטליה,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/28022020_1.aspx
הפיראט האדום,"32.0228009, 34.861666",2020-02-25T08:30:00+02:00,2020-02-25T23:59:00+02:00,,מקום ביקור של הישראלי ששב מאיטליה,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/28022020_1.aspx
בית כנסת אירוס,"31.9306892,34.7765856",2020-02-24T06:00:00+02:00,2020-02-24T07:00:00+02:00,,מקום ביקור של הישראלי ששב מאיטליה,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/28022020_1.aspx
ארומה בתחנת ״דלק פז״,"32.383731, 34.866688",2020-02-22T06:30:00+02:00,2020-02-22T07:00:00+02:00,6,חולה מס׳ 6 שחזר מאיטליה,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/28022020_6.aspx
בית הפנקייק,"32.383850, 34.866874",2020-02-22T06:30:00+02:00,2020-02-22T07:00:00+02:00,6,חולה מס׳ 6 שחזר מאיטליה,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/28022020_6.aspx
סעיד מלחם מוצרי חשמל באבו סנאן,"32.962288, 35.176676",2020-02-22T11:00:00+02:00,2020-02-22T13:00:00+02:00,6,חולה מס׳ 6 שחזר מאיטליה,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/28022020_6.aspx
מחסני זול ספורט בקריית אתא,"32.818203, 35.050937",2020-02-22T11:00:00+02:00,2020-02-22T13:00:00+02:00,6,חולה מס׳ 6 שחזר מאיטליה,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/28022020_6.aspx
חומוס פרלמנט ותחנת דלק פז בנהריה,"32.990316, 35.096735",2020-02-23T11:30:00+02:00,2020-02-23T12:00:00+02:00,6,חולה מס׳ 6 שחזר מאיטליה,https://www.health.gov.il/NewsAndEvents/SpokemanMesseges/Pages/28022020_6.aspx
